,abbrev name,born place,name,team
0,"Ramirez, A", Dominican Republic,Aramis Nin Ramirez,2 teams
1,"Ramirez, A", Dominican Republic,Aramis Nin Ramirez,2 teams
2,"Cabrera, M", Venezuela,Jose Miguel Cabrera,Detroit Tigers
3,"Abreu, J", Cuba,José Dariel Abreu,Chicago White Sox
4,"Bautista, J", Dominican Republic,José Antonio Bautista,Toronto Blue Jays
5,"Cano, R", Dominican Republic,Robinson Jose Canó,Seattle Mariners
6,"Castro, S", Dominican Republic,Starlin DeJesus Castro,New York Yankees
7,"Cespedes, Y", Cuba,Yoenis Céspedes,New York Mets
8,"Cruz, N", Dominican Republic,Nelson Ramon Cruz,Seattle Mariners
9,"Gomez, C", Dominican Republic,Carlos Argelis Gómez,Texas Rangers
10,"Montero, M", Venezuela,Miguel Angel Montero,2 teams
11,"Perez, S", Venezuela,Salvador Johan Perez,Kansas City Royals
12,"Puig, Y", Cuba,Yasiel Puig,Los Angeles Dodgers
13,"Altuve, J", Venezuela,José Carlos Altuve,Houston Astros
14,"Aybar, E", Dominican Republic,Erick Johan Aybar,San Diego Padres
15,"Beltre, A", Dominican Republic,Adrian Beltre,Texas Rangers
